effect_type,effect_name,sol,sep,inbred
fixed,Intercept,612.0515728366107,0.0,0.0
fixed,Age,-1.6923362458485802,0.0,0.0
fixed,Sex1,310.34730044733607,0.0,0.0
fixed,Sex2,301.70427239328467,0.0,0.0
random_non_gen,Litter1,-12.41208883972336,0.0,0.0
random_non_gen,Litter2,-23.704576702845944,0.0,0.0
random_non_gen,Litter3,37.53635782951362,0.0,0.0
random_non_gen,Litter4,16.904714561878514,0.0,0.0
random_non_gen,Litter5,0.05539449896875268,0.0,0.0
random_non_gen,Litter6,15.368724185974553,0.0,0.0
random_non_gen,Litter7,19.681772689883264,0.0,0.0
random_non_gen,Litter8,-5.763210043153392,0.0,0.0
random_non_gen,Litter9,4.188541561533275,0.0,0.0
random_non_gen,Litter10,-33.206599823239166,0.0,0.0
random_non_gen,Litter11,-39.548521709405705,0.0,0.0
random_non_gen,Litter12,25.745066537755932,0.0,0.0
random_non_gen,Litter13,-10.999450627322393,0.0,0.0
random_non_gen,Litter14,-22.782275020653202,0.0,0.0
random_non_gen,Litter15,-13.966519445073118,0.0,0.0
random_non_gen,Litter16,39.058660418143496,0.0,0.0
random_non_gen,Litter17,-4.350784965718685,0.0,0.0
random_non_gen,Litter18,6.786438325220921,0.0,0.0
random_non_gen,Litter19,-23.635784726515556,0.0,0.0
random_non_gen,Litter20,23.713935718426693,0.0,0.0
random_non_gen,Litter21,14.559924481549933,0.0,0.0
random_non_gen,Litter22,60.39272746439685,0.0,0.0
random_non_gen,Litter23,-12.764298821228119,0.0,0.0
random_non_gen,Litter24,67.41416623762319,0.0,0.0
random_non_gen,Litter25,19.013558866666333,0.0,0.0
random_non_gen,Litter26,11.68199707650613,0.0,0.0
random_non_gen,Litter27,62.99343399193193,0.0,0.0
random_non_gen,Litter28,-18.565637745144222,0.0,0.0
random_non_gen,Litter29,27.58620465644468,0.0,0.0
random_non_gen,Litter30,-15.075547234719103,0.0,0.0
random_non_gen,Litter31,-3.1971413064649026,0.0,0.0
random_non_gen,Litter32,-0.2902200929612524,0.0,0.0
random_non_gen,Litter33,-29.301168618724073,0.0,0.0
random_non_gen,Litter34,-12.050282340535432,0.0,0.0
random_non_gen,Litter35,40.56653175041426,0.0,0.0
random_non_gen,Litter36,-13.820953912345136,0.0,0.0
random_non_gen,Litter37,9.448424115418586,0.0,0.0
random_non_gen,Litter38,15.377099721396185,0.0,0.0
random_non_gen,Litter39,-37.1464256200796,0.0,0.0
random_non_gen,Litter40,50.33920808055898,0.0,0.0
random_non_gen,Litter41,18.83758004485401,0.0,0.0
random_non_gen,Litter42,-28.20746573929213,0.0,0.0
random_non_gen,Litter43,30.00759195742924,0.0,0.0
random_non_gen,Litter44,17.62186499183803,0.0,0.0
random_non_gen,Litter45,16.001981136967903,0.0,0.0
random_non_gen,Litter46,-2.301204632848707,0.0,0.0
random_non_gen,Litter47,-20.378085356859295,0.0,0.0
random_non_gen,Litter48,24.793436499363768,0.0,0.0
random_non_gen,Litter49,-8.723287224313752,0.0,0.0
random_non_gen,Litter50,-19.86543913850122,0.0,0.0
random_non_gen,Litter51,-5.951720076290624,0.0,0.0
random_non_gen,Litter52,32.909374608727724,0.0,0.0
random_non_gen,Litter53,-9.575959940765877,0.0,0.0
random_non_gen,Litter54,6.540375684373234,0.0,0.0
random_non_gen,Litter55,11.194792079165968,0.0,0.0
random_non_gen,Litter56,-41.69465422759506,0.0,0.0
random_non_gen,Litter57,-35.993857509485366,0.0,0.0
random_non_gen,Litter58,-20.05841532936145,0.0,0.0
random_non_gen,Litter59,10.663963705855412,0.0,0.0
random_non_gen,Litter60,-25.7400095898708,0.0,0.0
random_non_gen,Litter61,26.000335892029568,0.0,0.0
random_non_gen,Litter62,-19.36906738193003,0.0,0.0
random_non_gen,Litter63,-30.662731842404664,0.0,0.0
random_non_gen,Litter64,27.433516775676363,0.0,0.0
random_non_gen,Litter65,53.55080887240941,0.0,0.0
random_non_gen,Litter66,26.70488399382565,0.0,0.0
random_non_gen,Litter67,72.9780541652143,0.0,0.0
random_non_gen,Litter68,14.883617208277988,0.0,0.0
random_non_gen,Litter69,28.38125493281042,0.0,0.0
random_non_gen,Litter70,2.1029225050825002,0.0,0.0
random_non_gen,Litter71,-18.031159740932353,0.0,0.0
random_non_gen,Litter72,-5.485651611365939,0.0,0.0
